carid,pushDate,pushPrice,updatePriceTimeJson
54953,2021-11-07,4.5,{}
21082,2021-11-28,28.0,"""{""""2021-12-01"""": """"27""""}"""
16289,2021-09-05,7.5,"""{""""2021-09-06"""": """"6.3""""}"""
24616,2021-09-30,4.3,{}
65021,2021-09-14,13.18,{}
14570,2021-10-19,6.99,{}
1577,2021-08-18,10.2,{}
59066,2021-10-20,5.98,"""{""""2021-11-09"""": """"5.68""""}"""
20631,2021-10-07,7.58,{}
54107,2021-07-03,7.98,"""{""""2021-07-16"""": """"7.68"""", """"2021-08-17"""": """"7.28""""}"""
35658,2021-09-16,48.98,{}
1495,2021-08-29,3.5,{}
1001,2021-10-13,46.0,{}
18720,2021-08-11,53.95,"""{""""2021-09-22"""": """"50""""}"""
20313,2021-10-13,8.68,{}
23156,2021-08-04,18.08,"""{""""2021-08-13"""": """"17.58"""", """"2021-08-29"""": """"16.98"""", """"2021-09-02"""": """"16.8799""""}"""
1313,2021-08-23,3.9,{}
19488,2021-10-12,2.4,{}
363,2021-09-02,5.0,"""{""""2021-09-12"""": """"3.3""""}"""
14089,2021-09-10,14.5,"""{""""2021-09-17"""": """"14.3"""", """"2021-09-19"""": """"14.2""""}"""
661,2021-09-14,13.0,{}
858,2021-08-31,8.0,{}
33581,2021-08-17,7.2,"""{""""2021-08-22"""": """"6.95"""", """"2021-09-28"""": """"6.7""""}"""
2647,2021-08-14,6.6,{}
1629,2021-09-05,7.6,{}
53911,2021-09-11,14.5,{}
70056,2021-11-06,4.98,{}
9637,2021-08-19,16.2,{}
568,2021-08-23,4.9,"""{""""2021-08-29"""": """"4.6"""", """"2021-09-18"""": """"4.0""""}"""
1782,2021-10-05,15.68,{}
48282,2021-09-13,59.8,{}
11742,2021-09-16,15.5,{}
34644,2021-08-03,26.8,{}
9238,2021-10-06,29.58,{}
912,2021-08-19,6.55,{}
44952,2021-10-30,12.0,{}
54748,2021-10-25,4.78,{}
10158,2021-08-14,86.99,"""{""""2021-08-22"""": """"86.88""""}"""
21906,2021-11-06,8.9,{}
40103,2021-08-28,7.2,"""{""""2021-08-30"""": """"7.1"""", """"2021-09-04"""": """"6.98""""}"""
22886,2021-09-18,10.68,"""{""""2021-09-27"""": """"9.8""""}"""
128,2021-09-03,5.7,{}
1529,2021-08-15,0.89,{}
2430,2021-08-08,12.3,{}
44353,2021-10-18,41.88,{}
898,2021-08-25,4.9,{}
631,2021-09-09,1.2999,{}
576,2021-08-11,9.8,"""{""""2021-08-14"""": """"9.58"""", """"2021-08-17"""": """"9.48"""", """"2021-08-19"""": """"9.38"""", """"2021-08-24"""": """"8.6""""}"""
73707,2021-10-17,20.8,{}
35551,2021-10-26,15.58,{}
53075,2021-09-04,16.8,"""{""""2021-10-29"""": """"16.6""""}"""
594,2021-08-04,3.1,{}
14452,2021-10-30,24.88,{}
72929,2021-08-04,7.87,{}
1636,2021-08-07,5.1,{}
51702,2021-09-15,2.38,{}
1627,2021-09-24,5.35,{}
40035,2021-10-14,13.0,{}
59014,2021-09-19,4.68,"""{""""2021-10-10"""": """"4.28""""}"""
60495,2021-11-20,4.5,{}
35723,2021-09-09,9.88,{}
11459,2021-09-12,4.2,{}
1528,2021-08-28,4.9,"""{""""2021-08-29"""": """"4.35""""}"""
1141,2021-08-15,17.8,"""{""""2021-08-17"""": """"17.5"""", """"2021-08-20"""": """"15.5""""}"""
465,2021-08-18,9.7,"""{""""2021-08-20"""": """"9.85""""}"""
1285,2021-07-25,6.8,"""{""""2021-08-03"""": """"5.7""""}"""
52739,2021-08-06,1.3,{}
28813,2021-10-24,7.2,"""{""""2021-10-25"""": """"6.8""""}"""
354,2021-08-17,1.6,{}
26187,2021-08-05,11.5,{}
65454,2021-09-08,12.0,{}
36640,2021-09-12,7.68,{}
13514,2021-08-14,3.08,"""{""""2021-08-21"""": """"3"""", """"2021-08-23"""": """"2.88"""", """"2021-09-15"""": """"2.8699"""", """"2021-09-17"""": """"2.7""""}"""
23574,2021-09-25,12.88,{}
53523,2021-10-23,25.68,"""{""""2021-10-25"""": """"24.5"""", """"2021-10-31"""": """"23.95"""", """"2021-11-15"""": """"23.5"""", """"2021-11-17"""": """"23"""", """"2021-11-18"""": """"22""""}"""
32174,2021-09-28,16.8,{}
16118,2021-10-15,26.88,"""{""""2021-10-18"""": """"27.5""""}"""
582,2021-07-24,17.0,"""{""""2021-08-09"""": """"15.73""""}"""
17604,2021-10-07,5.98,{}
14754,2021-11-23,39.8,"""{""""2021-11-30"""": """"38.8""""}"""
12832,2021-09-20,6.98,"""{""""2021-09-24"""": """"6.3""""}"""
23261,2021-08-26,3.5,{}
1297,2021-09-01,3.55,{}
70798,2021-10-16,3.16,{}
2645,2021-09-13,37.88,{}
1209,2021-08-29,11.38,"""{""""2021-09-06"""": """"11.5""""}"""
1566,2021-09-12,11.98,"""{""""2021-10-09"""": """"11.66"""", """"2021-10-13"""": """"11.48""""}"""
56302,2021-09-25,6.5,{}
58975,2021-09-03,10.3,{}
3291,2021-08-17,5.38,"""{""""2021-08-23"""": """"5.18"""", """"2021-08-25"""": """"5.15"""", """"2021-08-29"""": """"5.08"""", """"2021-09-03"""": """"4.98""""}"""
1654,2021-09-21,19.8,"""{""""2021-10-08"""": """"18.8"""", """"2021-10-09"""": """"18.5""""}"""
225,2021-09-06,3.8499,{}
37310,2021-09-13,23.8,{}
26310,2021-09-03,20.3,"""{""""2021-09-13"""": """"19.8""""}"""
1433,2021-09-23,0.69,{}
42,2021-07-30,2.0,"""{""""2021-08-06"""": """"1.9"""", """"2021-08-13"""": """"1.5""""}"""
37344,2021-09-02,18.98,{}
52706,2021-09-29,24.3,"""{""""2021-10-28"""": """"22.88""""}"""
14728,2021-10-29,50.5,"""{""""2021-11-04"""": """"49.8""""}"""
73940,2021-11-14,1.8,{}
24128,2021-08-29,3.95,"""{""""2021-09-23"""": """"3.8""""}"""
7833,2021-08-15,3.68,"""{""""2021-08-21"""": """"3.28"""", """"2021-08-22"""": """"3.18"""", """"2021-08-28"""": """"2.88""""}"""
32403,2021-08-31,10.0,{}
60802,2021-08-28,17.5,"""{""""2021-09-02"""": """"18""""}"""
73138,2021-11-10,28.08,"""{""""2021-11-21"""": """"23.5""""}"""
839,2021-09-05,21.68,"""{""""2021-09-11"""": """"20.5""""}"""
44007,2021-07-24,21.8,"""{""""2021-08-10"""": """"21.39""""}"""
1342,2021-09-01,11.42,{}
1412,2021-09-29,20.4999,{}
32778,2021-07-31,4.99,"""{""""2021-08-14"""": """"4.5"""", """"2021-08-26"""": """"3.9""""}"""
54552,2021-09-28,6.38,{}
70320,2021-09-18,32.0,{}
50894,2021-11-10,3.69,{}
51952,2021-08-24,6.65,{}
63916,2021-08-05,4.98,{}
65008,2021-08-04,14.88,{}
1053,2021-08-02,2.1,{}
67044,2021-10-23,7.18,{}
1021,2021-07-25,6.18,"""{""""2021-08-15"""": """"5.88"""", """"2021-09-07"""": """"5.5""""}"""
1266,2021-10-12,12.9,{}
53684,2021-09-17,8.2,{}
72952,2021-08-07,5.8,"""{""""2021-08-16"""": """"5.68"""", """"2021-09-06"""": """"5.48"""", """"2021-09-23"""": """"5.38""""}"""
35550,2021-11-15,15.38,"""{""""2021-11-19"""": """"14.88""""}"""
12039,2021-11-06,13.3,{}
1446,2021-07-31,13.8,"""{""""2021-08-14"""": """"13.0""""}"""
4377,2021-06-12,9.0,"""{""""2021-06-23"""": """"8.9"""", """"2021-08-01"""": """"8.6"""", """"2021-08-11"""": """"8.2""""}"""
242,2021-09-13,6.2,{}
380,2021-09-28,22.2,{}
18833,2021-08-18,7.2,{}
824,2021-09-05,18.0,{}
17606,2021-09-18,3.68,{}
24338,2021-09-23,4.2,"""{""""2021-09-25"""": """"2.8"""", """"2021-09-26"""": """"3.3""""}"""
14440,2021-09-03,28.0,"""{""""2021-09-06"""": """"27.5""""}"""
32159,2021-11-21,7.6,{}
41095,2021-09-06,2.0,"""{""""2021-09-07"""": """"1.8""""}"""
39127,2021-09-20,4.78,"""{""""2021-09-26"""": """"4.65"""", """"2021-10-08"""": """"4.4899"""", """"2021-10-10"""": """"4.5""""}"""
19066,2021-09-30,15.68,"""{""""2021-10-04"""": """"15.18""""}"""
5251,2021-09-29,16.88,{}
982,2021-08-20,6.47,{}
68571,2021-07-23,19.8,"""{""""2021-07-29"""": """"18.2"""", """"2021-08-29"""": """"17.9"""", """"2021-09-15"""": """"18.28""""}"""
1108,2021-09-04,0.88,{}
30904,2021-08-05,1.48,{}
19606,2021-06-07,6.5,"""{""""2021-06-08"""": """"6.48"""", """"2021-06-09"""": """"6.45"""", """"2021-06-16"""": """"6.4"""", """"2021-07-08"""": """"6.35"""", """"2021-07-09"""": """"6.1"""", """"2021-07-17"""": """"6"""", """"2021-07-20"""": """"5.8"""", """"2021-08-02"""": """"5.7"""", """"2021-08-15"""": """"5.6"""", """"2021-08-29"""": """"5.4""""}"""
74022,2021-09-12,6.98,{}
28841,2021-11-08,145.88,{}
1490,2021-08-09,8.3,"""{""""2021-08-16"""": """"8"""", """"2021-08-24"""": """"8.2"""", """"2021-10-02"""": """"7.5""""}"""
1481,2021-08-01,12.3,{}
17047,2021-08-21,2.99,{}
66708,2021-08-31,55.8,{}
64868,2021-11-12,11.58,{}
63037,2021-08-04,13.8,{}
46130,2021-10-08,1.08,{}
989,2021-07-07,8.9,"""{""""2021-07-25"""": """"8.68"""", """"2021-08-14"""": """"8.1""""}"""
23235,2021-11-30,3.67,{}
6112,2021-08-09,22.78,{}
72476,2021-09-18,5.1,"""{""""2021-09-26"""": """"4.88""""}"""
42054,2021-09-10,12.3,"""{""""2021-09-21"""": """"11.8""""}"""
65659,2021-08-23,14.5,{}
241,2021-08-05,6.5,{}
17647,2021-10-21,4.8,"""{""""2021-11-20"""": """"4.38""""}"""
61625,2021-08-01,10.6,{}
1520,2021-09-13,7.0,{}
116,2021-09-09,3.5599,{}
67544,2021-09-18,10.3,"""{""""2021-09-22"""": """"9.9799""""}"""
21165,2021-09-13,15.0,{}
42063,2021-08-26,7.99,{}
62281,2021-08-29,10.38,{}
67838,2021-09-10,1.36,"""{""""2021-09-13"""": """"1.3"""", """"2021-09-14"""": """"1.2""""}"""
1557,2021-10-05,11.0,{}
1174,2021-09-28,3.35,{}
24409,2021-10-24,1.5,"""{""""2021-10-26"""": """"1.2""""}"""
34979,2021-09-19,8.28,{}
35913,2021-09-21,22.88,{}
67040,2021-08-05,7.5,"""{""""2021-08-07"""": """"7.38"""", """"2021-08-10"""": """"7.28""""}"""
111,2021-09-16,2.2,{}
13360,2021-10-17,8.2,"""{""""2021-10-22"""": """"7.98""""}"""
60594,2021-07-31,1.98,"""{""""2021-08-02"""": """"1.88"""", """"2021-08-07"""": """"1.68"""", """"2021-08-12"""": """"1.58""""}"""
8343,2021-09-17,9.58,"""{""""2021-10-08"""": """"9"""", """"2021-10-13"""": """"8.8""""}"""
41928,2021-09-21,5.98,{}
27498,2021-11-04,10.2,{}
620,2021-08-23,8.0,{}
1439,2021-09-28,4.4,"""{""""2021-09-29"""": """"3.41""""}"""
21551,2021-09-03,16.8,"""{""""2021-09-04"""": """"17.8""""}"""
63046,2021-08-04,13.5,{}
1024,2021-09-01,6.5,"""{""""2021-09-03"""": """"5.1""""}"""
13676,2021-08-19,11.78,{}
58674,2021-09-22,4.68,{}
58064,2021-10-18,3.2,{}
51053,2021-08-31,1.6,"""{""""2021-09-04"""": """"1.3""""}"""
62059,2021-11-12,4.9,{}
23918,2021-09-02,22.5,"""{""""2021-09-03"""": """"21.5""""}"""
31499,2021-07-12,9.5,"""{""""2021-07-13"""": """"9.4"""", """"2021-07-14"""": """"9.3"""", """"2021-07-29"""": """"9.2"""", """"2021-09-01"""": """"9.1"""", """"2021-09-19"""": """"9"""", """"2021-11-18"""": """"8.9""""}"""
31265,2021-10-26,14.28,"""{""""2021-11-21"""": """"12.8""""}"""
13438,2021-08-24,2.28,{}
34392,2021-09-10,7.68,{}
66864,2021-11-16,18.0,"""{""""2021-11-21"""": """"16.3""""}"""
16857,2021-10-12,22.5,"""{""""2021-10-13"""": """"21.98""""}"""
54481,2021-08-18,7.38,"""{""""2021-08-29"""": """"7.1""""}"""
7708,2021-11-04,8.6,"""{""""2021-11-21"""": """"8.2""""}"""
1000,2021-09-16,1.3,"""{""""2021-09-24"""": """"1"""", """"2021-10-04"""": """"0.86""""}"""
14382,2021-08-13,7.68,{}
95,2021-09-14,1.55,{}
54400,2021-07-11,2.82,"""{""""2021-07-28"""": """"2"""", """"2021-08-01"""": """"2.5""""}"""
52042,2021-11-23,9.98,{}
18880,2021-11-07,15.9,"""{""""2021-11-08"""": """"15.8"""", """"2021-11-11"""": """"15.7""""}"""
60510,2021-10-11,5.8,{}
40205,2021-10-12,13.0,"""{""""2021-10-13"""": """"12.5""""}"""
228,2021-08-28,3.3,{}
445,2021-07-16,24.28,"""{""""2021-08-18"""": """"23.65""""}"""
57141,2021-11-30,7.28,{}
1227,2021-08-13,9.0,{}
38338,2021-07-30,8.7,"""{""""2021-08-03"""": """"9""""}"""
441,2021-08-24,4.14,{}
73276,2021-11-19,4.18,"""{""""2021-11-20"""": """"3.18"""", """"2021-11-23"""": """"3.08""""}"""
36151,2021-10-15,2.5,{}
17343,2021-10-15,35.1,{}
1602,2021-08-24,1.6,"""{""""2021-08-28"""": """"1.9""""}"""
36868,2021-08-17,13.88,"""{""""2021-09-08"""": """"13""""}"""
33162,2021-07-07,23.38,"""{""""2021-07-18"""": """"20.5"""", """"2021-08-18"""": """"19.8""""}"""
882,2021-09-13,21.38,{}
17772,2021-08-27,33.8,"""{""""2021-08-31"""": """"34.5""""}"""
478,2021-08-28,1.9,{}
1122,2021-09-03,8.8,"""{""""2021-09-08"""": """"8.65""""}"""
1633,2021-09-03,6.2,"""{""""2021-09-15"""": """"6.0""""}"""
68890,2021-10-19,12.98,{}
255,2021-08-21,7.5,"""{""""2021-08-22"""": """"6.6""""}"""
71433,2021-09-01,8.0,{}
32013,2021-10-17,18.88,{}
1162,2021-08-30,2.4,{}
394,2021-09-04,2.66,"""{""""2021-09-07"""": """"2.75""""}"""
25582,2021-11-26,3.8,"""{""""2021-11-28"""": """"3.66""""}"""
40764,2021-08-12,7.6,{}
18227,2021-08-15,8.68,"""{""""2021-08-18"""": """"8.38"""", """"2021-08-27"""": """"7.98"""", """"2021-09-04"""": """"8.2""""}"""
39470,2021-07-23,15.8,"""{""""2021-07-27"""": """"15.5"""", """"2021-08-25"""": """"14.8"""", """"2021-10-08"""": """"14.3""""}"""
14075,2021-08-25,15.0,"""{""""2021-09-06"""": """"14.8""""}"""
42091,2021-10-07,5.18,{}
59993,2021-11-08,6.2,"""{""""2021-11-17"""": """"5.9"""", """"2021-12-01"""": """"5.7""""}"""
4021,2021-07-13,8.33,"""{""""2021-07-26"""": """"7.85"""", """"2021-08-03"""": """"7.72"""", """"2021-08-10"""": """"7.67"""", """"2021-08-21"""": """"7.57"""", """"2021-09-06"""": """"7.46""""}"""
28809,2021-09-06,2.9,{}
51178,2021-10-10,11.8,{}
1076,2021-08-07,3.15,{}
24884,2021-08-23,24.66,{}
19063,2021-08-28,15.68,{}
424,2021-10-15,2.45,{}
11268,2021-10-27,33.8,"""{""""2021-11-20"""": """"33.18""""}"""
64056,2021-08-21,3.2,"""{""""2021-08-22"""": """"2.9"""", """"2021-08-23"""": """"2.8""""}"""
35485,2021-08-16,10.6,{}
9348,2021-08-18,9.2,"""{""""2021-08-21"""": """"8.2"""", """"2021-08-28"""": """"8""""}"""
57372,2021-09-22,53.5,"""{""""2021-09-25"""": """"52.7"""", """"2021-09-28"""": """"51.9"""", """"2021-10-05"""": """"51.5"""", """"2021-10-10"""": """"49.99""""}"""
29327,2021-09-12,3.5,{}
51083,2021-08-14,1.9,{}
17551,2021-09-14,6.1,{}
14116,2021-11-19,16.9,"""{""""2021-11-24"""": """"16.8""""}"""
70304,2021-08-27,6.7,{}
63918,2021-11-14,5.0,{}
70476,2021-10-16,5.88,{}
5011,2021-09-11,7.28,{}
9381,2021-08-18,11.3,{}
1104,2021-09-22,6.1866,{}
1117,2021-09-10,22.88,{}
71086,2021-08-29,17.98,{}
37447,2021-09-25,5.4,{}
26351,2021-09-20,10.9,{}
35258,2021-09-29,18.98,"""{""""2021-09-30"""": """"19.89""""}"""
23906,2021-12-01,19.88,{}
876,2021-09-17,27.0,"""{""""2021-09-18"""": """"27.2""""}"""
63743,2021-08-14,8.5,{}
57056,2021-08-20,2.88,{}
31464,2021-08-05,12.98,{}
33133,2021-07-22,11.0,"""{""""2021-08-04"""": """"12.0"""", """"2021-08-10"""": """"11.5""""}"""
1126,2021-07-24,5.0,"""{""""2021-10-09"""": """"3.6""""}"""
9116,2021-09-22,8.3,"""{""""2021-10-05"""": """"7.9"""", """"2021-10-17"""": """"7.8""""}"""
1393,2021-09-08,4.15,{}
22056,2021-10-15,3.5,{}
251,2021-09-05,4.3,"""{""""2021-09-08"""": """"4.0""""}"""
40691,2021-08-17,4.2,{}
33762,2021-05-23,20.88,"""{""""2021-09-26"""": """"18.88""""}"""
30343,2021-09-27,18.28,"""{""""2021-10-08"""": """"16.98""""}"""
57555,2021-08-15,21.0,{}
67706,2021-09-11,3.28,"""{""""2021-09-20"""": """"2.6""""}"""
1373,2021-07-04,13.28,"""{""""2021-08-15"""": """"11.92""""}"""
54376,2021-10-19,5.5,"""{""""2021-10-24"""": """"5.1"""", """"2021-11-12"""": """"4.9"""", """"2021-11-25"""": """"4.86"""", """"2021-12-01"""": """"4.6"""", """"2021-12-02"""": """"4.5""""}"""
1073,2021-09-19,2.74,{}
1250,2021-09-10,8.0,{}
8250,2021-07-31,4.35,"""{""""2021-08-02"""": """"5"""", """"2021-08-12"""": """"4.15"""", """"2021-08-16"""": """"4.05""""}"""
7352,2021-05-24,8.5,"""{""""2021-07-28"""": """"7.98"""", """"2021-08-25"""": """"7.5"""", """"2021-10-26"""": """"7.2""""}"""
1579,2021-09-23,7.5,{}
678,2021-08-16,5.2,{}
12424,2021-08-20,28.5,"""{""""2021-09-26"""": """"28.48""""}"""
52570,2021-08-03,8.0,{}
66812,2021-10-15,18.18,"""{""""2021-10-16"""": """"18.5"""", """"2021-10-22"""": """"18.35""""}"""
1131,2021-09-24,5.3,"""{""""2021-09-27"""": """"4.8"""", """"2021-09-30"""": """"3.5""""}"""
14159,2021-09-08,77.7,{}
46580,2021-10-19,75.8,"""{""""2021-10-25"""": """"74.6"""", """"2021-11-13"""": """"72.6"""", """"2021-11-21"""": """"73.8""""}"""
43259,2021-09-18,7.3,{}
44148,2021-08-30,12.8,{}
72887,2021-08-10,22.88,"""{""""2021-08-30"""": """"23.88""""}"""
751,2021-09-18,7.3,{}
933,2021-09-28,1.4499,{}
6806,2021-05-21,5.45,"""{""""2021-06-28"""": """"5.28"""", """"2021-08-13"""": """"5.18""""}"""
66959,2021-10-07,28.5,{}
55035,2021-07-31,1.88,"""{""""2021-08-11"""": """"1.8""""}"""
3217,2021-08-09,28.5,{}
44482,2021-08-11,13.98,{}
63471,2021-08-02,13.5,{}
52045,2021-09-25,10.8,"""{""""2021-10-19"""": """"10.5""""}"""
65360,2021-09-15,24.0,{}
52966,2021-10-16,10.98,"""{""""2021-11-04"""": """"10.65"""", """"2021-11-15"""": """"10.5""""}"""
51099,2021-09-18,4.6,"""{""""2021-09-21"""": """"4.98""""}"""
57531,2021-10-12,3.28,{}
59916,2021-09-19,29.5,"""{""""2021-10-14"""": """"28.5"""", """"2021-10-27"""": """"27.8""""}"""
899,2021-09-15,18.7,{}
1611,2021-09-15,6.75,{}
67845,2021-09-04,5.8,{}
32157,2021-07-20,11.3,"""{""""2021-07-31"""": """"10.68"""", """"2021-08-06"""": """"10.38"""", """"2021-08-22"""": """"9.88""""}"""
47851,2021-09-25,8.8,{}
15923,2021-09-17,2.99,{}
34255,2021-08-06,2.3,{}
22604,2021-08-08,5.88,{}
35661,2021-09-11,14.5,{}
487,2021-08-30,5.97,{}
65868,2021-08-19,21.9,"""{""""2021-09-18"""": """"20.8""""}"""
47870,2021-10-18,2.98,"""{""""2021-10-24"""": """"2.5""""}"""
23185,2021-09-29,18.2,{}
67699,2021-08-29,2.38,{}
14213,2021-09-09,6.98,{}
45832,2021-10-02,3.2,"""{""""2021-10-04"""": """"2.8""""}"""
4850,2021-09-15,30.6,{}
43230,2021-08-01,8.0,"""{""""2021-08-02"""": """"7.68""""}"""
1308,2021-07-19,8.88,"""{""""2021-09-07"""": """"8.58""""}"""
499,2021-08-06,8.7037,{}
59813,2021-09-03,3.38,{}
44417,2021-09-28,4.5,"""{""""2021-10-26"""": """"4.1""""}"""
48144,2021-09-05,2.98,"""{""""2021-09-08"""": """"2.65""""}"""
19373,2021-08-04,13.8,{}
544,2021-09-15,6.7,{}
37259,2021-08-13,14.0,{}
49750,2021-08-26,52.0,{}
1396,2021-10-06,0.25,{}
965,2021-07-15,3.0,"""{""""2021-07-17"""": """"2.8"""", """"2021-08-03"""": """"2.6""""}"""
29235,2021-09-10,18.88,{}
56403,2021-08-30,4.5,{}
1238,2021-10-15,14.1,{}
36883,2021-09-27,0.88,{}
7984,2021-11-14,23.6,{}
823,2021-09-02,22.0,"""{""""2021-09-03"""": """"22.0""""}"""
38583,2021-10-21,9.88,{}
70999,2021-09-13,5.88,"""{""""2021-09-18"""": """"5.6""""}"""
50105,2021-10-04,1.88,{}
33294,2021-09-08,4.6,{}
1500,2021-09-20,9.6,{}
1014,2021-08-26,15.3,"""{""""2021-09-06"""": """"15"""", """"2021-09-10"""": """"16.2"""", """"2021-09-12"""": """"14.8"""", """"2021-09-13"""": """"14.5""""}"""
1060,2021-09-06,5.38,{}
1092,2021-08-13,7.3,{}
9607,2021-09-17,17.5,"""{""""2021-09-19"""": """"16.5""""}"""
34836,2021-09-22,16.88,"""{""""2021-10-22"""": """"16.18""""}"""
31604,2021-08-17,2.38,"""{""""2021-08-31"""": """"1.98"""", """"2021-09-04"""": """"1.88"""", """"2021-10-07"""": """"1.68""""}"""
